KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMEWRETD
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),,
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),,
2000003,FIXEDTERM,112,CRSP Fixed Term Index - 1-Year (Nominal),,
2000004,FIXEDTERM,212,CRSP Fixed Term Index - 2-Year (Nominal),,
2000005,FIXEDTERM,512,CRSP Fixed Term Index - 5-Year (Nominal),,
2000006,FIXEDTERM,712,CRSP Fixed Term Index - 7-Year (Nominal),,
2000007,FIXEDTERM,1012,CRSP Fixed Term Index - 10-Year (Nominal),,
2000008,FIXEDTERM,2012,CRSP Fixed Term Index - 20-Year (Nominal),,
2000009,FIXEDTERM,3012,CRSP Fixed Term Index - 30-Year (Nominal),,
2000010,TERMSTRUCT,1201,Fama T-Bill 12-Month Term Structure - 1 Month,,
2000011,TERMSTRUCT,1202,Fama T-Bill 12-Month Term Structure - 2 Month,,
2000012,TERMSTRUCT,1203,Fama T-Bill 12-Month Term Structure - 3 Month,,
2000013,TERMSTRUCT,1204,Fama T-Bill 12-Month Term Structure - 4 Month,,
2000014,TERMSTRUCT,1205,Fama T-Bill 12-Month Term Structure - 5 Month,,
2000015,TERMSTRUCT,1206,Fama T-Bill 12-Month Term Structure - 6 Month,,
2000016,TERMSTRUCT,1207,Fama T-Bill 12-Month Term Structure - 7 Month,,
2000017,TERMSTRUCT,1208,Fama T-Bill 12-Month Term Structure - 8 Month,,
2000018,TERMSTRUCT,1209,Fama T-Bill 12-Month Term Structure - 9 Month,,
2000019,TERMSTRUCT,1210,Fama T-Bill 12-Month Term Structure - 10 Month,,
2000020,TERMSTRUCT,1211,Fama T-Bill 12-Month Term Structure - 11 Month,,
2000021,TERMSTRUCT,1212,Fama T-Bill 12-Month Term Structure - 12 Month,,
2000022,TERMSTRUCT,601,Fama T-Bill 6-Month Term Structure - 1 Month,,
2000023,TERMSTRUCT,602,Fama T-Bill 6-Month Term Structure - 2 Month,,
2000024,TERMSTRUCT,603,Fama T-Bill 6-Month Term Structure - 3 Month,,
2000025,TERMSTRUCT,604,Fama T-Bill 6-Month Term Structure - 4 Month,,
2000026,TERMSTRUCT,605,Fama T-Bill 6-Month Term Structure - 5 Month,,
2000027,TERMSTRUCT,606,Fama T-Bill 6-Month Term Structure - 6 Month,,
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,31/01/2000,4.1269503180112E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,29/02/2000,4.4527361230421E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,31/03/2000,4.8362591163996E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,28/04/2000,4.6630956698311E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,31/05/2000,6.0132300989813E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,30/06/2000,5.0372017552139E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,31/07/2000,4.7402645161311E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,31/08/2000,5.4646048393831E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,29/09/2000,5.0050864300044E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,31/10/2000,5.2225150391068E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,30/11/2000,5.6811593622584E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,29/12/2000,5.7776420234812E-03
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,31/01/2001,7.2156052952450E-03
